,City,Population,Zip Codes
0,New York City,"8,398,748
","100xx–104xx, 11004–05, 111xx–114xx, 116xx"
1,Los Angeles,"3,990,456
","
List
90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330,91331, 91335, 913340,  91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609[15] 
"
2,Chicago,"2,705,994
","606xx, 607xx, 608xx"
3,Houston,"2,325,502
","770xx, 772xx (P.O. Boxes)"
4,Phoenix,"1,660,272
",85001–85099
5,Philadelphia,"1,584,138
","19092-19093, 19099, 191xx"
6,San Antonio,"1,532,233
","78201-66, 78268-70, 78275, 78278-80, 78283-89, 78291-99"
7,San Diego,"1,425,976
","92101–92124, 92126–92132, 92134–92140, 92142, 92143, 92145, 92147, 92149–92155, 92158–92161, 92163, 92165–92179, 92182, 92186, 92187, 92190–92199"
8,Dallas,"1,345,047
","
ZIP Codes[3]
75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394
"
9,San Jose,"1,030,119
","
List
95002
95008
95101
95103
95106
95108–95113
95115–95141
95148
95150–95161
95164, 95170
95172
95173
95190–9519
 95196[10]

"
10,Austin,"964,254
","78701–78705, 78708–78739, 78741–78742, 78744–78769"
11,Jacksonville,"903,889
","32099, 32201–32212, 32214–32241, 32244–32247, 32250, 32254–32260, 32266, 32267, 32277, 32290"
12,Fort Worth,"895,008
","76120, 76008, 76028, 76036, 76101-76124, 76126-76127, 76130-76137, 76140, 76147-76148, 76150, 76155, 76161-76164, 76166, 76177, 76179, 76180-76182, 76185, 76191-76193, 76195-76199, 76244, 76247, 76262, 76129 (exclusive to TCU), 76107"
13,Columbus,"892,533
","
Zip codes[15]
43035, 43085, 43201-43207, 43209-43224, 43226-43232, 43234-43236, 43240, 43251, 43260, 43266, 43268, 43270-43272, 43279, 43287, 43291
"
14,San Francisco,"883,305
","
List
94102–94105
94107–94112
94114–94134
94137
94139–94147
94151
94158–94161
94163–94164
94172
94177
94188
"
15,Charlotte,"872,498
","28201-28237, 28240-28247, 28250, 28253-28256, 28258,  28260-28262, 28265-28266, 28269-28275, 28277-28278, 28280-28290, 28296-28297, 28299"
16,Indianapolis,"867,125
","
61 total ZIP codes:
46201–46209, 46211, 46214, 46216–46231, 46234–46237, 46239–46242, 46244, 46247, 46249–46251, 46253–46256, 46259–46260, 46266, 46268, 46274–46275, 46277–46278, 46280, 46282–46283, 46285, 46290–46291, 46295–46296, 46298
"
